id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
2747,2753,3165,,,,,0.586005,36.832233,259.7403,-20.36,-16.14,-11.5,6.58,-0.493,G8III-IV...,1.445,205.452816,31.769311,155.707486,6.65E-06,-2.491E-05,-2.332E-05,0.153415852304428,0.64284372932188,-9.87080653611111E-08,-7.8248928E-08,,,And,1,2747,,137.151322593649,,,
5914,5927,7706,,,,,1.270015,-42.009716,178.5714,-55.92,-21.29,0,6.58,0.321,K2III,1.189,125.417443,43.307596,-119.510091,4.14E-06,-4.978E-05,-1.369E-05,0.332489223806661,-0.73320786414728,-2.71107810166667E-07,-1.03216832E-07,,,Phe,1,5914,,64.8037294192291,,,
7543,7557,9612,449,,,,1.622832,74.300955,277.0083,17.91,-3.03,-8,6.58,-0.632,B9V,0.008,68.290472,30.895464,266.674783,-8.36E-06,2.261E-05,-8.98E-06,0.424856318763639,1.29679629346378,8.68301301875E-08,-1.4689854E-08,,,Cas,1,7543,,155.883446770439,,,
12454,12485,17072,,,,,2.677785,-69.233004,128.3697,64.16,-12.1,62.6,6.58,1.038,G2w...,0.66,34.781855,29.358686,-120.030054,-1.379E-05,4.061E-05,-6.253E-05,0.701042497744003,-1.20834386929648,3.11056457444444E-07,-5.8662455E-08,,,Hyi,1,12454,,33.4811217386054,,,
13207,13241,17606,,,,,2.840564,31.972887,119.0476,31.84,-46.2,0,6.58,1.201,A0,0.032,74.326817,68.367293,63.037835,-2.05E-06,2.308E-05,-2.262E-05,0.743657851690914,0.5580321481407,1.54364675888889E-07,-2.2398392E-07,,,Tri,1,13207,,28.813764348397,,,
13299,13333,18120,,,,,2.859985,-63.540674,242.1308,-13.06,-24.69,0,6.58,-0.34,K2/K3IIICN.,1.226,79.030282,73.438776,-216.767814,-8.57E-06,-2.889E-05,-1.291E-05,0.748742229979167,-1.10899396437935,-6.33166666805556E-08,-1.19700497E-07,,,Hor,1,13299,,119.124200802738,,,
13587,13621,17696,,,,,2.924507,73.371127,290.6977,27.41,-12.28,0,6.58,-0.737,G5,1.199,59.974606,57.649896,278.540283,-1.481E-05,3.934E-05,-4.95E-06,0.765634017765011,1.28056774406771,1.32887429840278E-07,-5.9535119E-08,,,Cas,1,13587,,171.711744324445,,,
13693,13727,18446,,,,,2.946792,-35.377791,156.7398,-13.28,2.2,0,6.58,0.604,G8III/IV,0.976,91.616929,89.099418,-90.746884,7.73E-06,-6.56E-06,1.36E-06,0.771468459646503,-0.617458927673375,-6.43832567777778E-08,1.06659E-08,,,For,1,13693,,49.934418872135,,,
15756,15795,20762,,,,,3.392445,58.722021,375.9398,1.5,-18.38,0,6.58,-1.296,K0II-III,1.271,123.133304,151.443566,321.300123,1.594E-05,2.394E-05,-1.739E-05,0.888140112631796,1.0248926102984,7.27220520833333E-09,-8.9108754E-08,,,Cam,1,15756,,287.342588667487,,,
17181,17223,23055,1128,,,,3.689553,-19.58439,127.8772,-8.73,2.91,-8,6.58,1.046,A3IV/V,0.092,68.51153,99.103119,-42.863761,4.1E-07,-8.92E-06,4.44E-06,0.96592266666295,-0.341812089554318,-4.23242343125E-08,1.4108078E-08,,,Eri,1,17181,,33.2353303577477,,,
17646,17688,24023,,,,,3.788812,-50.754019,207.9002,-23.86,-57.58,0,6.58,-0.009,K3III,1.325,71.958275,110.098558,-161.005613,-4.46E-06,-5.078E-05,-3.671E-05,0.991908731830238,-0.885824746612524,-1.15676544180556E-07,-2.79155717E-07,,,Hor,1,17646,,87.8213279898006,,,
19283,19331,26413,1291,,,,4.142739,-45.864799,53.135,70.36,23.86,8,6.58,2.953,F2V,0.386,17.290289,32.712475,-38.134967,-1.13E-05,1.741E-05,-1.59E-06,1.08456650075542,-0.80049175283024,3.41114905638889E-07,1.15676544E-07,,,Hor,1,19283,,5.73852132674619,,,
21204,21257,28879,,,,,4.56058,16.323339,76.9231,14.41,-16.56,24,6.58,2.15,F0,0.188,27.165494,68.642645,21.619886,4.31E-06,2.549E-05,9.7E-07,1.19395697528945,0.284896016504981,6.98616513680556E-08,-8.0285145E-08,,,Tau,1,21204,,12.0226443461741,,,
21696,21749,29457,,,,,4.669729,40.78901,76.864,-66.81,-22.13,0,6.58,2.151,F2,0.425,19.860168,54.701615,50.213359,2.524E-05,-3.43E-06,-6.24E-06,1.22253215583983,0.711902523218914,-3.23904019979167E-07,-1.07289267E-07,,,Per,1,21696,,12.0115761793758,,,
25610,25674,35761,,,,,5.483639,42.270516,144.0922,34.18,-30.43,-10.6,6.58,0.787,G5,0.937,14.369967,105.652124,96.920935,-2.281E-05,9.44E-06,-2.302E-05,1.43561323595652,0.737759680122982,1.65709316013889E-07,-1.47528802E-07,,,Aur,1,25610,,42.1890746567798,,,
26033,26098,36741,1871,,,,5.565996,1.407647,342.4658,3.37,-0.07,14,6.58,-1.093,B2V,-0.174,38.816236,340.155014,8.412879,-3.94E-06,1.486E-05,2.4E-07,1.45717444395943,0.024568067030521,1.63382210347222E-08,-3.39369E-10,,,Ori,1,26033,,238.341682067315,,,
27287,27355,38257,,,,,5.793649,54.494665,170.068,-10.72,-11.59,0,6.58,0.427,K0,0.924,5.333342,98.627787,138.445801,9.25E-06,7.29E-06,-5.55E-06,1.51677382524477,0.951111324338331,-5.19720265555556E-08,-5.6189905E-08,,,Aur,1,27287,,58.77599636806,,,
28417,28489,41089,,,,,6.014175,-42.870464,235.2941,-0.93,6.16,0,6.58,-0.278,B9IIIp SrEu+,-0.159,-0.639963,172.444378,-160.080731,1.04E-06,4.78E-06,5.15E-06,1.57450744854829,-0.748230756685433,-4.50876722916667E-09,2.9864522E-08,,,Col,1,28417,,112.512299296577,TW,6.598,6.558
